batch,cs,run
0,0.9434136748313904,FP32
1,0.9471240043640137,FP32
2,0.9347854256629944,FP32
3,0.9388089179992676,FP32
4,0.9371027946472168,FP32
5,0.9419417977333069,FP32
6,0.9431858658790588,FP32
7,0.9344666004180908,FP32
8,0.9418081641197205,FP32
9,0.9427811503410339,FP32
0,0.719692051410675,Naive int4 dequant
1,0.7193977236747742,Naive int4 dequant
2,0.6682276725769043,Naive int4 dequant
3,0.594734251499176,Naive int4 dequant
4,0.603836178779602,Naive int4 dequant
5,0.6719255447387695,Naive int4 dequant
6,0.7090446352958679,Naive int4 dequant
7,0.515647292137146,Naive int4 dequant
8,0.6727386116981506,Naive int4 dequant
9,0.7462117671966553,Naive int4 dequant
