batch,psnr,ssim,lpips,run
0.0,23.252254128456116,0.19511847919784486,0.5163633935153484,FP32
1.0,23.060590624809265,0.16686055436730385,0.5262953713536263,FP32
2.0,23.218716025352478,0.15726699260994792,0.537341820076108,FP32
3.0,23.085290789604187,0.1668264544568956,0.5279612876474857,FP32
4.0,22.884857773780823,0.17632288625463843,0.5221091769635677,FP32
5.0,22.10895538330078,0.18264141422696412,0.512397937476635,FP32
6.0,21.60180354118347,0.19794629840180278,0.5010392684489489,FP32
7.0,23.67646074295044,0.1539652592036873,0.5360475406050682,FP32
8.0,23.267922282218933,0.2296992166666314,0.5115178637206554,FP32
9.0,21.449066877365112,0.20567690627649426,0.5220330134034157,FP32
0.0,22.606653094291687,0.15114160475786775,0.646479856222868,Naive int4 dequant
1.0,22.658813953399658,0.1442596318665892,0.6201219074428082,Naive int4 dequant
2.0,22.63615393638611,0.12886518030427396,0.630299411714077,Naive int4 dequant
3.0,22.327223420143127,0.11794245429337025,0.6811114251613617,Naive int4 dequant
4.0,22.22312331199646,0.13455594843253493,0.6744945161044598,Naive int4 dequant
5.0,21.584481477737427,0.13513221126049757,0.64803022518754,Naive int4 dequant
6.0,21.07419717311859,0.15782283572480083,0.625150702893734,Naive int4 dequant
7.0,22.78435981273651,0.10392717644572258,0.687574177980423,Naive int4 dequant
8.0,22.576794862747192,0.16914315079338849,0.6455053351819515,Naive int4 dequant
9.0,21.025327801704407,0.16747849062085152,0.6273856908082962,Naive int4 dequant
