method,batch,psnr,ssim,lpips
FP32 baseline,0,23.252254128456116,0.19511847919784486,0.5163633935153484
FP32 baseline,1,23.060590624809265,0.16686055436730385,0.5262953713536263
FP32 baseline,2,23.218716025352478,0.15726699260994792,0.537341820076108
FP32 baseline,3,23.085290789604187,0.1668264544568956,0.5279612876474857
FP32 baseline,4,22.884857773780823,0.17632288625463843,0.5221091769635677
FP32 baseline,5,22.10895538330078,0.18264141422696412,0.512397937476635
FP32 baseline,6,21.60180354118347,0.19794629840180278,0.5010392684489489
FP32 baseline,7,23.67646074295044,0.1539652592036873,0.5360475406050682
FP32 baseline,8,23.267922282218933,0.2296992166666314,0.5115178637206554
FP32 baseline,9,21.449066877365112,0.20567690627649426,0.5220330134034157
Naive int4 + Direct FIA,0,22.606653094291687,0.15114160475786775,0.646479856222868
Naive int4 + Direct FIA,1,22.658813953399658,0.1442596318665892,0.6201219074428082
Naive int4 + Direct FIA,2,22.63615393638611,0.12886518030427396,0.630299411714077
Naive int4 + Direct FIA,3,22.327223420143127,0.11794245429337025,0.6811114251613617
Naive int4 + Direct FIA,4,22.22312331199646,0.13455594843253493,0.6744945161044598
Naive int4 + Direct FIA,5,21.584481477737427,0.13513221126049757,0.64803022518754
Naive int4 + Direct FIA,6,21.07419717311859,0.15782283572480083,0.625150702893734
Naive int4 + Direct FIA,7,22.78435981273651,0.10392717644572258,0.687574177980423
Naive int4 + Direct FIA,8,22.576794862747192,0.16914315079338849,0.6455053351819515
Naive int4 + Direct FIA,9,21.025327801704407,0.16747849062085152,0.6273856908082962
Randomized ensemble avg,0,11.661003768444061,0.10621360095683485,0.7493700198829174
Randomized ensemble avg,1,11.159682244062424,0.0857080144342035,0.7452763579785824
Randomized ensemble avg,2,11.645713359117508,0.08366056717932224,0.7298253811895847
Randomized ensemble avg,3,11.579076051712036,0.08712223113980144,0.7548267282545567
Randomized ensemble avg,4,11.494376838207245,0.09580863662995398,0.7435620576143265
Randomized ensemble avg,5,10.615742951631546,0.10048567841295153,0.7656730562448502
Randomized ensemble avg,6,10.306580424308777,0.09953477210365236,0.7399326637387276
Randomized ensemble avg,7,11.906059503555298,0.08500283467583358,0.740119680762291
Randomized ensemble avg,8,11.767436265945435,0.1223872434347868,0.744697242975235
Randomized ensemble avg,9,10.118233740329742,0.10978127643465996,0.744411762803793
QGM FIA gm=0.0001 b10,0,10.23251473903656,0.03984294191468507,0.692235104739666
QGM FIA gm=0.0001 b10,1,9.654558002948761,0.02943283272907138,0.6709062345325947
QGM FIA gm=0.0001 b10,2,9.94387012720108,0.017182863452035235,0.6593625992536545
QGM FIA gm=0.0001 b10,3,10.116291880607605,0.023619632091140375,0.6978137344121933
QGM FIA gm=0.0001 b10,4,9.721264958381653,0.01837217147112824,0.694503877311945
QGM FIA gm=0.0001 b10,5,9.072659462690353,0.023555441352073103,0.6984958201646805
QGM FIA gm=0.0001 b10,6,9.05077451467514,0.024613265704829246,0.6893394999206066
QGM FIA gm=0.0001 b10,7,10.353700399398804,0.027879136381670833,0.6921444498002529
QGM FIA gm=0.0001 b10,8,10.106519132852554,0.02788030874216929,0.6853796020150185
QGM FIA gm=0.0001 b10,9,8.873463481664658,0.023784138495102525,0.713966865092516
