run,cs_mean,cs_std,psnr_mean,ssim_mean,lpips_mean,summary_rows,fi_rows
FP32,0.9405423164367676,0.08013879801668368,22.76059181690216,0.18323244616622106,0.5213106673210859,1280,160
Naive int4,0.6621457099914551,0.23009235475597384,22.149712884426116,0.1410268684499897,0.6486153248697519,1280,160
Rand k00,0.13490047454833984,0.07124507269322901,11.304873299598693,0.1054050661274232,0.7380363021045924,1280,160
Rand k01,0.13523240089416505,0.07103367906625296,11.310897693037987,0.10742946164682507,0.736827077716589,1280,160
Rand k02,0.1344818353652954,0.06998322811025245,11.29651282429695,0.10543565506814048,0.7371851954609155,1280,160
Rand k03,0.1349867582321167,0.06997775189245725,11.29461550116539,0.10587449411395937,0.7371695190668106,1280,160
Rand k04,0.13521589040756227,0.07036073028662675,11.303270736336708,0.10564922172343358,0.7392820373177529,1280,160
Rand k05,0.13469181060791016,0.07212968548133154,11.317540654540062,0.10748787742340937,0.7373052045702935,1280,160
Rand k06,0.13463693857192993,0.07028328421017102,11.28969304561615,0.10457965343957767,0.7379275824874639,1280,160
Rand k07,0.13484599590301513,0.07118071654862253,11.31724080145359,0.10648253175895661,0.737612721696496,1280,160
Ensemble avg,0.4411922939121723,0.05177690337576529,11.225390514731407,0.09757048554020002,0.7457694951444864,160,160
