run,type,cs,psnr,ssim,lpips
k00,member,0.13490047454833984,11.304873299598693,0.1054050661274232,0.7380363021045924
k01,member,0.13523240089416505,11.310897693037987,0.10742946164682507,0.736827077716589
k02,member,0.1344818353652954,11.29651282429695,0.10543565506814048,0.7371851954609155
k03,member,0.1349867582321167,11.29461550116539,0.10587449411395937,0.7371695190668106
k04,member,0.13521589040756227,11.303270736336708,0.10564922172343358,0.7392820373177529
k05,member,0.13469181060791016,11.317540654540062,0.10748787742340937,0.7373052045702935
k06,member,0.13463693857192993,11.28969304561615,0.10457965343957767,0.7379275824874639
k07,member,0.13484599590301513,11.31724080145359,0.10648253175895661,0.737612721696496
ensemble_avg,ensemble,0.4411922939121723,11.225390514731407,0.09757048554020002,0.7457694951444864
fp32,baseline,0.9405423164367676,22.76059181690216,0.18323244616622106,0.5213106673210859
naive_int4,baseline,0.6621457099914551,22.149712884426116,0.1410268684499897,0.6486153248697519
